Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
L8s v3,L8s v3,64 GiB,8,8 GiB/vCPU,0,80 GiB,$0.696 hourly,,,$0.2005 hourly,$1.064 hourly,,,$0.3065 hourly
L8s v4,L8s v4,64 GiB,8,8 GiB/vCPU,0,1920 GiB,$0.696 hourly,,,$0.1286 hourly,$1.056 hourly,,,$0.207 hourly
L96as v4,L96as v4,768 GiB,96,8 GiB/vCPU,0,23040 GiB,$8.256 hourly,,,$1.6182 hourly,$12.672 hourly,,,$2.4837 hourly
L96s v4,L96s v4,768 GiB,96,8 GiB/vCPU,0,23040 GiB,$8.352 hourly,,,$1.5435 hourly,$12.768 hourly,,,$2.3595 hourly
M128,M128,2048 GiB,128,16 GiB/vCPU,0,14336 GiB,$13.338 hourly,,,$2.4649 hourly,$35.814 hourly,,,$6.6184 hourly
M128bds 3 v3,M128bds3 v3,2794 GiB,128,21.83 GiB/vCPU,0,6000 GiB,$45.96 hourly,,,$8.4934 hourly,$51.85 hourly,,,$9.5819 hourly
M128bds v3,M128bds v3,1024 GiB,128,8 GiB/vCPU,0,400 GiB,$11.71 hourly,,,$2.164 hourly,$17.60 hourly,,,$3.2525 hourly
M128bs v3,M128bs v3,1024 GiB,128,8 GiB/vCPU,0,0 GiB,$11.16 hourly,,,$2.0624 hourly,,,,$2.6075 hourly
M128dms v2,M128dms v2,3892 GiB,128,30.41 GiB/vCPU,0,4096 GiB,$26.69 hourly,,,$4.9323 hourly,$32.578 hourly,,,$6.0204 hourly
M128ds v2,M128ds v2,2048 GiB,128,16 GiB/vCPU,0,4096 GiB,$13.34 hourly,,,$2.4652 hourly,$19.228 hourly,,,$3.5533 hourly
M128m,M128m,3892 GiB,128,30.41 GiB/vCPU,0,14336 GiB,$26.688 hourly,,,$4.9319 hourly,$35.814 hourly,,,$6.6184 hourly
M128ms,M128ms,3892 GiB,128,30.41 GiB/vCPU,0,4096 GiB,$26.688 hourly,,,$4.9319 hourly,$35.814 hourly,,,$6.6184 hourly
M128ms v2,M128ms v2,3892 GiB,128,30.41 GiB/vCPU,0,0 GiB,$26.269 hourly,,,$4.8545 hourly,$32.157 hourly,,,$5.9426 hourly
M128s,M128s,2048 GiB,128,16 GiB/vCPU,0,4096 GiB,$13.338 hourly,,,$2.4649 hourly,$19.226 hourly,,,$3.553 hourly
M128s v2,M128s v2,2048 GiB,128,16 GiB/vCPU,0,0 GiB,$12.919 hourly,,,$2.3874 hourly,$18.807 hourly,,,$3.4755 hourly
M12ds v3,M12ds v3,240 GiB,12,20 GiB/vCPU,0,400 GiB,$1.63 hourly,,,$0.3012 hourly,$2.18 hourly,,,$0.4029 hourly
M12s v3,M12s v3,240 GiB,12,20 GiB/vCPU,0,0 GiB,$1.54 hourly,,,$0.2846 hourly,$2.09 hourly,,,$0.3862 hourly
M16-8ms,M16-8ms,437.5 GiB,16,27.34 GiB/vCPU,0,256 GiB,$3.073 hourly,,,$0.5679 hourly,$4.2138 hourly,,,$0.7787 hourly
M16bds v3,M16bds v3,128 GiB,16,8 GiB/vCPU,0,400 GiB,$1.46 hourly,,,$0.2698 hourly,$2.20 hourly,,,$0.4066 hourly
M16bs v3,M16bs v3,128 GiB,16,8 GiB/vCPU,0,0 GiB,$1.40 hourly,,,$0.2587 hourly,$2.13 hourly,,,$0.3936 hourly
M16ms,M16ms,437.5 GiB,16,27.34 GiB/vCPU,0,512 GiB,$3.073 hourly,,,$0.5679 hourly,$4.2138 hourly,,,$0.7787 hourly
M176-88bs v3,M176-88bs v3,1536 GiB,176,8.73 GiB/vCPU,0,0 GiB,$16.11 hourly,,,$2.9771 hourly,$19.40 hourly,,,$3.5851 hourly
M176bds 4 v3,M176bds4 v3,3892 GiB,176,22.11 GiB/vCPU,0,8000 GiB,$62.83 hourly,,,$11.611 hourly,$70.93 hourly,,,$13.1079 hourly
M176bds v3,M176bds v3,1536 GiB,176,8.73 GiB/vCPU,0,400 GiB,$16.11 hourly,,,$2.9771 hourly,$24.20 hourly,,,$4.4722 hourly
M176bs v3,M176bs v3,1536 GiB,176,8.73 GiB/vCPU,0,0 GiB,$15.34 hourly,,,$2.8348 hourly,,,,$3.5851 hourly
M176ds 3 v3,M176ds3 v3,2794 GiB,176,15.88 GiB/vCPU,0,400 GiB,$19.00 hourly,,,$3.5112 hourly,$27.10 hourly,,,$5.0081 hourly
M176ds 4 v3,M176ds4 v3,3892 GiB,176,22.11 GiB/vCPU,0,400 GiB,$26.47 hourly,,,$4.8917 hourly,$34.56 hourly,,,$6.3867 hourly
M176s 3 v3,M176s3 v3,2794 GiB,176,15.88 GiB/vCPU,0,0 GiB,$17.88 hourly,,,$3.3042 hourly,$25.98 hourly,,,$4.8011 hourly
M176s 4 v3,M176s4 v3,3892 GiB,176,22.11 GiB/vCPU,0,0 GiB,$24.91 hourly,,,$4.6034 hourly,$33.00 hourly,,,$6.0984 hourly
M192idms v2,M192idms v2,4096 GiB,192,21.33 GiB/vCPU,0,4096 GiB,$32.064 hourly,,,$5.9254 hourly,$40.896 hourly,,,$7.5576 hourly
M192ids v2,M192ids v2,2048 GiB,192,10.67 GiB/vCPU,0,4096 GiB,$16.032 hourly,,,$2.9627 hourly,$24.864 hourly,,,$4.5949 hourly
M192ims v2,M192ims v2,4096 GiB,192,21.33 GiB/vCPU,0,0 GiB,$31.643 hourly,,,$5.8476 hourly,$40.476 hourly,,,$7.48 hourly
M192is v2,M192is v2,2048 GiB,192,10.67 GiB/vCPU,0,0 GiB,$15.611 hourly,,,$2.8849 hourly,$24.444 hourly,,,$4.5173 hourly
M208ms v2,M208ms v2,5700 GiB,208,27.4 GiB/vCPU,0,4096 GiB,$44.62 hourly,,,$8.2458 hourly,$54.188 hourly,,,$10.0139 hourly
M208s v2,M208s v2,2850 GiB,208,13.7 GiB/vCPU,0,4096 GiB,$22.31 hourly,,,$4.1229 hourly,$31.878 hourly,,,$5.8911 hourly
M24ds v3,M24ds v3,480 GiB,24,20 GiB/vCPU,0,400 GiB,$3.26 hourly,,,$0.6024 hourly,$4.37 hourly,,,$0.8076 hourly
M24s v3,M24s v3,480 GiB,24,20 GiB/vCPU,0,0 GiB,$3.07 hourly,,,$0.5673 hourly,$4.18 hourly,,,$0.7725 hourly
M32-8ms,M32-8ms,875 GiB,32,27.34 GiB/vCPU,0,1024 GiB,$6.146 hourly,,,$1.1358 hourly,$8.4276 hourly,,,$1.5574 hourly
M32bds v3,M32bds v3,256 GiB,32,8 GiB/vCPU,0,400 GiB,$2.93 hourly,,,$0.5415 hourly,$4.40 hourly,,,$0.8131 hourly
M32bs v3,M32bs v3,256 GiB,32,8 GiB/vCPU,0,0 GiB,$2.79 hourly,,,$0.5156 hourly,$4.26 hourly,,,$0.7872 hourly
M32dms v2,M32dms v2,875 GiB,32,27.34 GiB/vCPU,0,1024 GiB,$6.146 hourly,,,$1.1358 hourly,$7.618 hourly,,,$1.4078 hourly
M32ls,M32ls,256 GiB,32,8 GiB/vCPU,0,1024 GiB,$2.873 hourly,,,$0.5309 hourly,$4.345 hourly,,,$0.803 hourly
M32ms,M32ms,875 GiB,32,27.34 GiB/vCPU,0,1024 GiB,$6.146 hourly,,,$1.1358 hourly,$8.4276 hourly,,,$1.5574 hourly
M32ms v2,M32ms v2,875 GiB,32,27.34 GiB/vCPU,0,0 GiB,$6.041 hourly,,,$1.1164 hourly,$7.513 hourly,,,$1.3884 hourly
M32ts,M32ts,192 GiB,32,6 GiB/vCPU,0,1024 GiB,$2.707 hourly,,,$0.5003 hourly,$4.179 hourly,,,$0.7723 hourly
M416bs v3,M416bs v3,3800 GiB,416,9.13 GiB/vCPU,0,0 GiB,$48.14 hourly,,,$8.8963 hourly,$67.276 hourly,,,$12.4326 hourly
M416ds 6 v3,M416ds6 v3,5700 GiB,416,13.7 GiB/vCPU,0,400 GiB,$58.0665 hourly,,,$10.7307 hourly,$77.2025 hourly,,,$14.267 hourly
M416ds 8 v3,M416ds8 v3,7600 GiB,416,18.27 GiB/vCPU,0,400 GiB,$77.422 hourly,,,$14.3076 hourly,$96.558 hourly,,,$17.8439 hourly
M416ms v2,M416ms v2,11400 GiB,416,27.4 GiB/vCPU,0,8192 GiB,$99.15 hourly,,,$18.3229 hourly,$118.29 hourly,,,$21.86 hourly
M416s 6 v3,M416s6 v3,5700 GiB,416,13.7 GiB/vCPU,0,0 GiB,$55.3014 hourly,,,$10.2197 hourly,$74.4374 hourly,,,$13.756 hourly
M416s 8 v2,M416s_8_v2,7600 GiB,416,18.27 GiB/vCPU,0,4096 GiB,$66.11 hourly,,,$12.2171 hourly,$85.25 hourly,,,$15.7542 hourly
M416s 8 v3,M416s8 v3,7600 GiB,416,18.27 GiB/vCPU,0,0 GiB,$73.7352 hourly,,,$13.6263 hourly,$92.8712 hourly,,,$17.1626 hourly
M416s v2,M416s v2,5700 GiB,416,13.7 GiB/vCPU,0,8192 GiB,$49.58 hourly,,,$9.1624 hourly,$68.716 hourly,,,$12.6987 hourly
M48bds v3,M48bds v3,384 GiB,48,8 GiB/vCPU,0,400 GiB,$4.39 hourly,,,$0.8113 hourly,$6.60 hourly,,,$1.2197 hourly
M48bs v3,M48bs v3,384 GiB,48,8 GiB/vCPU,0,0 GiB,$4.18 hourly,,,$0.7725 hourly,$6.39 hourly,,,$1.1809 hourly
M48ds 1 v3,M48ds1 v3,974 GiB,48,20.29 GiB/vCPU,0,400 GiB,$6.62 hourly,,,$1.2234 hourly,$8.83 hourly,,,$1.6318 hourly
M48s 1 v3,M48s1 v3,974 GiB,48,20.29 GiB/vCPU,0,0 GiB,$6.23 hourly,,,$1.1513 hourly,$8.44 hourly,,,$1.5597 hourly
M624ds 12 v3,M624ds12 v3,11400 GiB,624,18.27 GiB/vCPU,0,400 GiB,$116.1329 hourly,,,$21.4614 hourly,,,,
M624s 12 v3,M624s12 v3,11400 GiB,624,18.27 GiB/vCPU,0,0 GiB,$110.6028 hourly,,,$20.4394 hourly,,,,
M64,M64,1024 GiB,64,16 GiB/vCPU,0,7168 GiB,$6.669 hourly,,,$1.2324 hourly,$14.641 hourly,,,$2.7057 hourly
M64-32bds1 v3,M64-32bds1 v3,1397 GiB,64,21.83 GiB/vCPU,0,3000 GiB,$22.98 hourly,,,$4.2467 hourly,$25.92 hourly,,,$4.79 hourly
M64bds 1 v3,M64bds1 v3,1397 GiB,64,21.83 GiB/vCPU,0,3000 GiB,$22.98 hourly,,,$4.2467 hourly,,,,$4.79 hourly
M64bds v3,M64bds v3,512 GiB,64,8 GiB/vCPU,0,400 GiB,$5.86 hourly,,,$1.0829 hourly,$8.80 hourly,,,$1.6262 hourly
M64bs v3,M64bs v3,512 GiB,64,8 GiB/vCPU,0,0 GiB,$5.58 hourly,,,$1.0312 hourly,,,,$1.5745 hourly
M64dms v2,M64dms v2,1792 GiB,64,28 GiB/vCPU,0,2048 GiB,$10.34 hourly,,,$1.9108 hourly,$13.284 hourly,,,$2.4549 hourly
M64ds v2,M64ds v2,1024 GiB,64,16 GiB/vCPU,0,2048 GiB,$6.669 hourly,,,$1.2324 hourly,$9.613 hourly,,,$1.7765 hourly
M64ls,M64ls,512 GiB,64,8 GiB/vCPU,0,2048 GiB,$5.415 hourly,,,$1.0007 hourly,$8.359 hourly,,,$1.5447 hourly
M64m,M64m,1792 GiB,64,28 GiB/vCPU,0,7168 GiB,$10.337 hourly,,,$1.9103 hourly,$14.641 hourly,,,$2.7057 hourly
M64ms,M64ms,1792 GiB,64,28 GiB/vCPU,0,2048 GiB,$10.337 hourly,,,$1.9103 hourly,$14.641 hourly,,,$2.7057 hourly
M64ms v2,M64ms v2,1792 GiB,64,28 GiB/vCPU,0,0 GiB,$10.13 hourly,,,$1.872 hourly,$13.073 hourly,,,$2.4159 hourly
M64s,M64s,1024 GiB,64,16 GiB/vCPU,0,2048 GiB,$6.669 hourly,,,$1.2324 hourly,$9.613 hourly,,,$1.7765 hourly
M64s v2,M64s v2,1024 GiB,64,16 GiB/vCPU,0,0 GiB,$6.459 hourly,,,$1.1936 hourly,$9.403 hourly,,,$1.7377 hourly
M8-4ms,M8-4ms,218.75 GiB,8,27.34 GiB/vCPU,0,256 GiB,$1.5365 hourly,,,$0.2839 hourly,$2.1069 hourly,,,$0.3894 hourly
M832ds 12 v3,M832ds12 v3,11400 GiB,832,13.7 GiB/vCPU,0,400 GiB,$116.506 hourly,,,$21.5303 hourly,,,,
M832ids 16 v3,M832ids16 v3,15200 GiB,832,18.27 GiB/vCPU,0,400 GiB,$172.0488 hourly,,,$31.7946 hourly,,,,
M832is 16 v3,M832is16 v3,15200 GiB,832,18.27 GiB/vCPU,0,0 GiB,$163.856 hourly,,,$30.2806 hourly,,,,
M832s 12 v3,M832s12 v3,11400 GiB,832,13.7 GiB/vCPU,0,0 GiB,$110.9581 hourly,,,$20.5051 hourly,,,,
M896ixds32 v3,M896ixds32 v3,30400 GiB,896,33.93 GiB/vCPU,0,4096 GiB,$410.40 hourly,,,$75.8419 hourly,,,,
M8ms,M8ms,218.75 GiB,8,27.34 GiB/vCPU,0,256 GiB,$1.5365 hourly,,,$0.2839 hourly,$2.1069 hourly,,,$0.3894 hourly
M96-48bds2 v3,M96-48bds2 v3,1946 GiB,96,20.27 GiB/vCPU,0,4500 GiB,$34.47 hourly,,,$6.3701 hourly,,,,
M96bds 2 v3,M96bds2 v3,1946 GiB,96,20.27 GiB/vCPU,0,4500 GiB,$34.47 hourly,,,$6.3701 hourly,$38.88 hourly,,,$7.185 hourly
M96bds v3,M96bds v3,768 GiB,96,8 GiB/vCPU,0,400 GiB,$8.79 hourly,,,$1.6244 hourly,,,,$2.4394 hourly
M96bs v3,M96bs v3,768 GiB,96,8 GiB/vCPU,0,0 GiB,$8.37 hourly,,,$1.5468 hourly,,,,$2.3617 hourly
M96ds 1 v3,M96ds1 v3,974 GiB,96,10.15 GiB/vCPU,0,400 GiB,$9.93 hourly,,,$1.8351 hourly,$14.34 hourly,,,$2.65 hourly
M96ds 2 v3,M96ds2 v3,1946 GiB,96,20.27 GiB/vCPU,0,400 GiB,$13.23 hourly,,,$2.4449 hourly,$17.65 hourly,,,$3.2617 hourly
M96s 1 v3,M96s1 v3,974 GiB,96,10.15 GiB/vCPU,0,0 GiB,$9.34 hourly,,,$1.726 hourly,$13.76 hourly,,,$2.5428 hourly
M96s 2 v3,M96s2 v3,1946 GiB,96,20.27 GiB/vCPU,0,0 GiB,$12.45 hourly,,,$2.3008 hourly,$16.87 hourly,,,$3.1176 hourly
NC12,NC12,112 GiB,12,9.33 GiB/vCPU,2X K80,680 GiB,$1.80 hourly,,,$0.3326 hourly,,,,
NC128dsxlRTX6K v6,NC128dsxlRTX6K v6,512 GiB,128,4 GiB/vCPU,1.00,1024 GiB,,,,,,,,
NC128ldsxlRTX6K v6,NC128ldsxlRTX6K v6,256 GiB,128,2 GiB/vCPU,1.00,1024 GiB,,,,,,,,
NC12s v2,NC12s v2,224 GiB,12,18.67 GiB/vCPU,2X P100,672 GiB,$4.14 hourly,,,$0.7651 hourly,,,,
NC12s v3,NC12s v3,224 GiB,12,18.67 GiB/vCPU,2X V100,672 GiB,$6.12 hourly,,,$1.131 hourly,$6.672 hourly,,,$1.233 hourly
NC16ads A10 v4,NC16ads A10 v4,220 GiB,16,13.75 GiB/vCPU,1X A10,1460 GiB,,,,,,,,
NC16as T4 v3,NC16as T4 v3,110 GiB,16,6.88 GiB/vCPU,1X T4,360 GiB,$1.204 hourly,,,$0.4452 hourly,$1.94 hourly,,,$0.7174 hourly
NC24,NC24,224 GiB,24,9.33 GiB/vCPU,4X K80,1440 GiB,$3.60 hourly,,,$0.6653 hourly,$4.336 hourly,,,$0.8013 hourly
NC24ads A100 v4,NC24ads A100 v4,220 GiB,24,9.17 GiB/vCPU,1X A100,958 GiB,$3.673 hourly,,,$0.7364 hourly,$4.777 hourly,,,$1.3404 hourly
NC24r,NC24r,224 GiB,24,9.33 GiB/vCPU,4X K80,1440 GiB,$3.96 hourly,,,$0.7318 hourly,,,,
NC24rs v2,NC24rs v2,448 GiB,24,18.67 GiB/vCPU,4X P100,1344 GiB,$9.108 hourly,,,$1.6832 hourly,,,,
NC24rs v3,NC24rs v3,448 GiB,24,18.67 GiB/vCPU,4X V100,1344 GiB,$13.46 hourly,,,$2.4874 hourly,$14.56 hourly,,,$2.6907 hourly
NC24s v2,NC24s v2,448 GiB,24,18.67 GiB/vCPU,4X P100,1344 GiB,$8.28 hourly,,,$1.5301 hourly,,,,
NC24s v3,NC24s v3,448 GiB,24,18.67 GiB/vCPU,4X V100,1344 GiB,$12.24 hourly,,,$2.262 hourly,$13.344 hourly,,,$2.466 hourly
NC256dsxlRTX6K v6,NC256dsxlRTX6K v6,1024 GiB,256,4 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC256ldsxlRTX6K v6,NC256ldsxlRTX6K v6,512 GiB,256,2 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC320dsxlRTX6K v6,NC320dsxlRTX6K v6,1280 GiB,320,4 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC320ldsxlRTX6K v6,NC320ldsxlRTX6K v6,640 GiB,320,2 GiB/vCPU,2.00,2048 GiB,,,,,,,,
NC32ads A10 v4,NC32ads A10 v4,440 GiB,32,13.75 GiB/vCPU,2X A10,2920 GiB,,,,,,,,
NC40ads H100 v5,NC40ads H100 v5,320 GiB,40,8 GiB/vCPU,1X H100,3576 GiB,$6.98 hourly,,,$2.4912 hourly,$8.82 hourly,,,$3.1479 hourly
NC48ads A100 v4,NC48ads A100 v4,440 GiB,48,9.17 GiB/vCPU,2X A100,1916 GiB,$7.346 hourly,,,$1.4729 hourly,$9.554 hourly,,,$2.6809 hourly
NC4as T4 v3,NC4as T4 v3,28 GiB,4,7 GiB/vCPU,1X T4,180 GiB,$0.526 hourly,,,$0.1945 hourly,$0.71 hourly,,,$0.2626 hourly
NC6,NC6,56 GiB,6,9.33 GiB/vCPU,1X K80,340 GiB,$0.90 hourly,,,$0.1663 hourly,,,,
NC64as T4 v3,NC64as T4 v3,440 GiB,64,6.88 GiB/vCPU,4X T4,2880 GiB,$4.352 hourly,,,$1.6094 hourly,$7.296 hourly,,,$2.6981 hourly
NC6s v2,NC6s v2,112 GiB,6,18.67 GiB/vCPU,1X P100,336 GiB,$2.07 hourly,,,$0.3825 hourly,,,,
NC6s v3,NC6s v3,112 GiB,6,18.67 GiB/vCPU,1X V100,336 GiB,$3.06 hourly,,,$0.5655 hourly,$3.336 hourly,,,$0.6165 hourly
NC80adis H100 v5,NC80adis H100 v5,640 GiB,80,8 GiB/vCPU,2X H100,7152 GiB,$13.96 hourly,,,$4.9823 hourly,$17.64 hourly,,,$6.2957 hourly
NC8ads A10 v4,NC8ads A10 v4,110 GiB,8,13.75 GiB/vCPU,1/2X A10,730 GiB,,,,,,,,
NC8as T4 v3,NC8as T4 v3,56 GiB,8,7 GiB/vCPU,1X T4,360 GiB,$0.752 hourly,,,$0.2781 hourly,$1.12 hourly,,,$0.4142 hourly
NC96ads A100 v4,NC96ads A100 v4,880 GiB,96,9.17 GiB/vCPU,4X A100,3832 GiB,$14.692 hourly,,,$2.9457 hourly,$19.108 hourly,,,$5.3617 hourly
NCC40ads H100 v5,NCC40ads H100 v5,320 GiB,40,8 GiB/vCPU,1X H100,3576 GiB,,,,,,,,
ND12s,ND12s,224 GiB,12,18.67 GiB/vCPU,2X P40,672 GiB,$4.14 hourly,,,$0.7651 hourly,,,,
ND24rs,ND24rs,448 GiB,24,18.67 GiB/vCPU,4X P40,1344 GiB,$9.108 hourly,,,$1.6832 hourly,,,,
ND24s,ND24s,448 GiB,24,18.67 GiB/vCPU,4X P40,1344 GiB,$8.28 hourly,,,$1.5301 hourly,,,,
ND40rs v2,ND40rs v2,672 GiB,40,16.8 GiB/vCPU,8X V100 (NVlink),2900 GiB,$22.032 hourly,,,$4.0715 hourly,$23.872 hourly,,,$4.4115 hourly
ND6s,ND6s,112 GiB,6,18.67 GiB/vCPU,1X P40,336 GiB,$2.07 hourly,,,$0.3825 hourly,,,,
ND96amsr A100 v4,ND96amsr A100 v4,1900 GiB,96,19.79 GiB/vCPU,8x 80GB A100 (NVlink),6400 GiB,$32.77 hourly,,,$8.5202 hourly,$37.186 hourly,,,$9.6684 hourly
ND96asr A100 v4,ND96asr A100 v4,900 GiB,96,9.38 GiB/vCPU,8x A100 (NVlink),6500 GiB,$27.197 hourly,,,$5.9833 hourly,$31.613 hourly,,,$6.9549 hourly
ND96isr H100 v5,ND96isr H100 v5,1900 GiB,96,19.79 GiB/vCPU,8x H100,28000 GiB,$98.32 hourly,,,$18.1695 hourly,$102.736 hourly,,,$18.9856 hourly
ND96isr H200 v5,ND96isr H200 v5,1900 GiB,96,19.79 GiB/vCPU,8x H200,28000 GiB,,,,,,,,
NG16ads V620 v1,NG16ads V620 v1,32 GiB,16,2 GiB/vCPU,1/2,512 GiB,,,,,,,,
NG32adms V620 v1,NG32adms V620 v1,176 GiB,32,5.5 GiB/vCPU,1,1024 GiB,,,,,,,,
NG32ads V620 v1,NG32ads V620 v1,64 GiB,32,2 GiB/vCPU,1,1024 GiB,,,,,,,,
NG8ads V620 v1,NG8ads V620 v1,16 GiB,8,2 GiB/vCPU,1/4,256 GiB,,,,,,,,
NM16ads MA35D,NM16ads MA35D,30 GiB,16,1.88 GiB/vCPU,1x ASIC VPU,71 GiB,$1.95 hourly,,,$0.3604 hourly,$2.686 hourly,,,$0.4964 hourly
Standard NP10s,NP10s,168 GiB,10,16.8 GiB/vCPU,0,700 GiB,$1.65 hourly,,,$0.3049 hourly,,,,
Standard NP20s,NP20s,336 GiB,20,16.8 GiB/vCPU,0,1400 GiB,$3.30 hourly,,,$0.6098 hourly,,,,
Standard NP40s,NP40s,672 GiB,40,16.8 GiB/vCPU,0,2800 GiB,$6.60 hourly,,,$1.2197 hourly,,,,
NV12,NV12,112 GiB,12,9.33 GiB/vCPU,2X M60,680 GiB,$2.28 hourly,,,$0.4213 hourly,,,,
NV12ads A10 v5,NV12ads A10 v5,110 GiB,12,9.17 GiB/vCPU,1/3X A10,320 GiB,$0.908 hourly,,,$0.1678 hourly,$1.46 hourly,,,$0.2698 hourly
NV12ads V710 v5,NV12ads v710 v5,64 GiB,12,5.33 GiB/vCPU,1/2 V710,768 GiB,$1.00 hourly,,,$0.1848 hourly,$1.552 hourly,,,$0.2868 hourly
NV12s v3,NV12s v3,112 GiB,12,9.33 GiB/vCPU,1X M60,736 GiB,$1.14 hourly,,,$0.2107 hourly,$1.692 hourly,,,$0.3127 hourly
Standard NV16as v4,NV16as v4,56 GiB,16,3.5 GiB/vCPU,1/2 MI25 (8GB VRAM),352 GiB,,,,,$1.668 hourly,,,$0.3082 hourly
NV18ads A10 v5,NV18ads A10 v5,220 GiB,18,12.22 GiB/vCPU,1/2X A10,720 GiB,$1.60 hourly,,,$0.2957 hourly,$2.428 hourly,,,$0.4487 hourly
NV24,NV24,224 GiB,24,9.33 GiB/vCPU,4X M60,1440 GiB,$4.56 hourly,,,$0.8427 hourly,,,,
NV24ads V710 v5,NV24ads V710 v5,128 GiB,24,5.33 GiB/vCPU,1 V710,1536 GiB,$2.00 hourly,,,$0.3696 hourly,$3.104 hourly,,,$0.5736 hourly
NV24s v3,NV24s v3,224 GiB,24,9.33 GiB/vCPU,2X M60,1474 GiB,$2.28 hourly,,,$0.4213 hourly,$3.384 hourly,,,$0.6254 hourly
NV28ads v710 v5,NV28ads v710 v5,160 GiB,28,5.71 GiB/vCPU,1 V710,1536 GiB,$2.40 hourly,,,$0.4435 hourly,,,,
Standard NV32as v4,NV32as v4,112 GiB,32,3.5 GiB/vCPU,1x MI25 (16GB VRAM),700 GiB,,,,,$3.336 hourly,,,$0.6165 hourly
NV36adms A10 v5,NV36adms A10 v5,880 GiB,36,24.44 GiB/vCPU,1X A10,720 GiB,$4.52 hourly,,,$0.8353 hourly,$6.176 hourly,,,$1.1413 hourly
NV36ads A10 v5,NV36ads A10 v5,440 GiB,36,12.22 GiB/vCPU,1X A10,720 GiB,$3.20 hourly,,,$0.5914 hourly,$4.856 hourly,,,$0.8974 hourly
NV48s v3,NV48s v3,448 GiB,48,9.33 GiB/vCPU,4X M60,2948 GiB,$4.56 hourly,,,$0.8427 hourly,$6.768 hourly,,,$1.2507 hourly
NV4ads V710 v5,NV4ads V710 v5,16 GiB,4,4 GiB/vCPU,1/6 V710,256 GiB,$0.333 hourly,,,$0.0615 hourly,$0.517 hourly,,,$0.0955 hourly
Standard NV4as v4,NV4as v4,14 GiB,4,3.5 GiB/vCPU,1/8th MI25 (2GB VRAM),88 GiB,,,,,$0.417 hourly,,,$0.0771 hourly
NV6,NV6,56 GiB,6,9.33 GiB/vCPU,1X M60,340 GiB,$1.14 hourly,,,$0.2107 hourly,,,,
NV6adsv5,NV6adsv5,55 GiB,6,9.17 GiB/vCPU,1/6X A10,180 GiB,$0.454 hourly,,,$0.0839 hourly,$0.73 hourly,,,$0.1349 hourly
NV72ads A10 v5,NV72ads A10 v5,880 GiB,72,12.22 GiB/vCPU,2X A10,1400 GiB,$6.52 hourly,,,$1.2049 hourly,$9.832 hourly,,,$1.817 hourly
NV8ads V710 v5,NV8ads v710 v5,32 GiB,8,4 GiB/vCPU,1/3 V710,512 GiB,$0.667 hourly,,,$0.1233 hourly,$1.035 hourly,,,$0.1913 hourly
Standard NV8as v4,NV8as v4,28 GiB,8,3.5 GiB/vCPU,1/4th MI25 (4GB VRAM),176 GiB,,,,,$0.834 hourly,,,$0.1541 hourly
S192,S192,2048 GiB,192,10.67 GiB/vCPU,0,8192 GiB,,,,,,,,
S192m,S192m,4096 GiB,192,21.33 GiB/vCPU,0,16384 GiB,,,,,,,,
S192xm,S192xm,6144 GiB,192,32 GiB/vCPU,0,16384 GiB,,,,,,,,
S224,S224,3072 GiB,224,13.71 GiB/vCPU,0,6125 GiB,,,,,,,,
S224m,S224m,6144 GiB,224,27.43 GiB/vCPU,0,10250 GiB,,,,,,,,
S224om,S224om,3072 GiB,224,13.71 GiB/vCPU,0,10250 GiB,,,,,,,,
S224oo,S224oo,1536 GiB,224,6.86 GiB/vCPU,0,8187 GiB,,,,,,,,
S224oom,S224oom,3072 GiB,224,13.71 GiB/vCPU,0,14375 GiB,,,,,,,,
S224ooo,S224ooo,1536 GiB,224,6.86 GiB/vCPU,0,12312 GiB,,,,,,,,
S32m,S32m,1536 GiB,32,48 GiB/vCPU,0,0 GiB,,,,,,,,
S384,S384,4096 GiB,384,10.67 GiB/vCPU,0,16384 GiB,,,,,,,,
S384m,S384m,6144 GiB,384,16 GiB/vCPU,0,18432 GiB,,,,,,,,
S384xm,S384xm,8192 GiB,384,21.33 GiB/vCPU,0,22528 GiB,,,,,,,,
S384xxm,S384xxm,12000 GiB,384,31.25 GiB/vCPU,0,28250 GiB,,,,,,,,
S448,S448,6144 GiB,448,13.71 GiB/vCPU,0,10250 GiB,,,,,,,,
S448m,S448m,12288 GiB,448,27.43 GiB/vCPU,0,18500 GiB,,,,,,,,
S448om,S448om,6144 GiB,448,13.71 GiB/vCPU,0,18500 GiB,,,,,,,,
S448oo,S448oo,3072 GiB,448,6.86 GiB/vCPU,0,14375 GiB,,,,,,,,
S448oom,S448oom,6144 GiB,448,13.71 GiB/vCPU,0,26750 GiB,,,,,,,,
S448ooo,S448ooo,3840 GiB,448,8.57 GiB/vCPU,0,22625 GiB,,,,,,,,
S576m,S576m,12000 GiB,576,20.83 GiB/vCPU,0,28250 GiB,,,,,,,,
