Instance Name,API Name,Instance Memory,vCPUs,Memory per vCPU,GPUs,Network Performance,Generation,Local SSD,Shared CPU,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
T2D Standard 2,t2d-standard-2,8 GiB,2,4 GiB/vCPU,0,Variable,current,No,No,$0.0952 hourly,$0.0185 hourly,$0.1872 hourly,$0.1105 hourly
T2D Standard 32,t2d-standard-32,128 GiB,32,4 GiB/vCPU,0,Variable,current,No,No,$1.5226 hourly,$0.2966 hourly,$2.9946 hourly,$1.7686 hourly
T2D Standard 4,t2d-standard-4,16 GiB,4,4 GiB/vCPU,0,Variable,current,No,No,$0.1903 hourly,$0.0371 hourly,$0.3743 hourly,$0.2211 hourly
T2D Standard 48,t2d-standard-48,192 GiB,48,4 GiB/vCPU,0,Variable,current,No,No,$2.2838 hourly,$0.445 hourly,$4.4918 hourly,$2.653 hourly
T2D Standard 60,t2d-standard-60,240 GiB,60,4 GiB/vCPU,0,Variable,current,No,No,$2.8548 hourly,$0.5562 hourly,$5.6148 hourly,$3.3162 hourly
T2D Standard 8,t2d-standard-8,32 GiB,8,4 GiB/vCPU,0,Variable,current,No,No,$0.3806 hourly,$0.0742 hourly,$0.7486 hourly,$0.4422 hourly
Z3 High Memory 14 standardlssd,z3-highmem-14-standardlssd,112 GiB,14,8 GiB/vCPU,0,Variable,current,No,No,$1.4405 hourly,$0.2498 hourly,$2.0845 hourly,$0.8938 hourly
Z3 High Memory 16 highlssd,z3-highmem-16-highlssd,128 GiB,16,8 GiB/vCPU,0,Variable,current,No,No,$1.6463 hourly,$0.2855 hourly,$2.3823 hourly,$1.0215 hourly
Z3 High Memory 176,z3-highmem-176,1408 GiB,176,8 GiB/vCPU,0,Variable,current,No,No,$18.1096 hourly,$3.1405 hourly,$26.2056 hourly,$11.2365 hourly
Z3 High Memory 176 standardlssd,z3-highmem-176-standardlssd,1408 GiB,176,8 GiB/vCPU,0,Variable,current,No,No,$18.1096 hourly,$3.1405 hourly,$26.2056 hourly,$11.2365 hourly
Z3 High Memory 192 highlssd metal,z3-highmem-192-highlssd-metal,1536 GiB,192,8 GiB/vCPU,0,Variable,current,No,No,$19.7559 hourly,$3.426 hourly,$28.5879 hourly,$12.258 hourly
Z3 High Memory 22 highlssd,z3-highmem-22-highlssd,176 GiB,22,8 GiB/vCPU,0,Variable,current,No,No,$2.2637 hourly,$0.3926 hourly,$3.2757 hourly,$1.4046 hourly
Z3 High Memory 22 standardlssd,z3-highmem-22-standardlssd,176 GiB,22,8 GiB/vCPU,0,Variable,current,No,No,$2.2637 hourly,$0.3926 hourly,$3.2757 hourly,$1.4046 hourly
Z3 High Memory 32 highlssd,z3-highmem-32-highlssd,256 GiB,32,8 GiB/vCPU,0,Variable,current,No,No,$3.2927 hourly,$0.571 hourly,$4.7647 hourly,$2.043 hourly
Z3 High Memory 44 highlssd,z3-highmem-44-highlssd,352 GiB,44,8 GiB/vCPU,0,Variable,current,No,No,$4.5274 hourly,$0.7851 hourly,$6.5514 hourly,$2.8091 hourly
Z3 High Memory 44 standardlssd,z3-highmem-44-standardlssd,352 GiB,44,8 GiB/vCPU,0,Variable,current,No,No,$4.5274 hourly,$0.7851 hourly,$6.5514 hourly,$2.8091 hourly
Z3 High Memory 8 highlssd,z3-highmem-8-highlssd,64 GiB,8,8 GiB/vCPU,0,Variable,current,No,No,$0.8232 hourly,$0.1428 hourly,$1.1912 hourly,$0.5108 hourly
Z3 High Memory 88,z3-highmem-88,704 GiB,88,8 GiB/vCPU,0,Variable,current,No,No,$9.0548 hourly,$1.5703 hourly,$13.1028 hourly,$5.6183 hourly
Z3 High Memory 88 highlssd,z3-highmem-88-highlssd,704 GiB,88,8 GiB/vCPU,0,Variable,current,No,No,$9.0548 hourly,$1.5703 hourly,$13.1028 hourly,$5.6183 hourly
Z3 High Memory 88 standardlssd,z3-highmem-88-standardlssd,704 GiB,88,8 GiB/vCPU,0,Variable,current,No,No,$9.0548 hourly,$1.5703 hourly,$13.1028 hourly,$5.6183 hourly
